path,sample,radius_m,angle_deg,target_x_m,target_y_m,final_x_m,final_y_m,theta1_deg,theta2_deg,theta3_deg
quarter_circle_workspace,2037,0.318,35.0,-0.05950964991610064,-0.13760269324036736,-0.05950971836431544,-0.13760268265573797,76.35687893354782,-74.3808709827806,17.927519818978496
quarter_circle_workspace,2038,0.318,36.0,-0.06273259578876672,-0.13308428977099354,-0.06273265144479459,-0.13308427990589955,77.28676008057764,-74.5488401676488,18.40825547209087
quarter_circle_workspace,2039,0.318,37.0,-0.06603390780496088,-0.12862282263764865,-0.06603395048804422,-0.1286228130584176,78.21951702785634,-74.70362520610455,18.85754657841785
quarter_circle_workspace,2040,0.318,37.99999999999999,-0.06941258035306241,-0.12421965084644071,-0.0694126108254526,-0.1242196413286489,79.15597011884797,-74.84462907560791,19.2723248038711
quarter_circle_workspace,2041,0.318,39.0,-0.07286758425668324,-0.11987611564615172,-0.07286760396460862,-0.11987610619853663,80.09683654980871,-74.97152548088035,19.650269741375688
quarter_circle_workspace,2042,0.318,40.0,-0.07639786708816498,-0.11559354011968051,-0.07639787795782109,-0.11559353099181144,81.04274089454967,-75.08417205418347,19.98962233113219
quarter_circle_workspace,2043,0.318,40.99999999999999,-0.08000235348915849,-0.11137322878101871,-0.08000235776981687,-0.11137322046063872,81.99422332542044,-75.1825468381243,20.289047385395122
quarter_circle_workspace,2044,0.318,42.0,-0.08367994549818863,-0.10721646717788308,-0.08368002108378471,-0.10721652239663806,82.95653482835732,-75.25744607757125,20.518807965987747
quarter_circle_workspace,2045,0.318,43.0,-0.08742952288510375,-0.1031245215001255,-0.08742959378232688,-0.10312457709424808,83.92222153805893,-75.3242851389281,20.725494920378
quarter_circle_workspace,2046,0.318,44.0,-0.09124994349230892,-0.09909863819403888,-0.09125001188220067,-0.09909869495484523,84.89213767741411,-75.38195927279149,20.904987127277575
quarter_circle_workspace,2047,0.318,45.0,-0.09514004358267789,-0.09514004358267791,-0.0951401127535067,-0.09514010297109839,85.86696878291707,-75.42956544502934,21.053957728683358
quarter_circle_workspace,2048,0.318,45.99999999999999,-0.09909863819403883,-0.09124994349230897,-0.09909871228601719,-0.0912500076284538,86.84728532549096,-75.46639911976831,21.16972492065955
quarter_circle_workspace,2049,0.318,47.0,-0.1031245215001255,-0.0874295228851038,-0.10312454035370833,-0.08742954198271542,87.83994230324483,-75.47994499158978,21.21255825694003
quarter_circle_workspace,2050,0.318,48.0,-0.10721646717788308,-0.08367994549818863,-0.10721649702008385,-0.08367997424676302,88.8398840558529,-75.48007409827079,21.21293683641816
quarter_circle_workspace,2051,0.318,49.0,-0.11137322878101868,-0.08000235348915849,-0.11137327184607465,-0.08000239373151553,89.84711322102496,-75.46666398050928,21.17063593241815
quarter_circle_workspace,2052,0.318,50.0,-0.11559354011968048,-0.07639786708816498,-0.1155935985147762,-0.07639792074903984,90.86160190964387,-75.43962450799222,21.085555796678026
quarter_circle_workspace,2053,0.318,50.99999999999999,-0.11987611564615167,-0.0728675842566833,-0.11987617764318148,-0.07286764250574547,91.89649567203165,-75.3736525857796,20.87907751459231
quarter_circle_workspace,2054,0.318,52.0,-0.12421965084644065,-0.06941258035306241,-0.12421971934695115,-0.06941264575396343,92.93529814216204,-75.29895366456269,20.646990306842405
quarter_circle_workspace,2055,0.318,53.0,-0.12862282263764865,-0.06603390780496088,-0.12862288583574466,-0.06603397074022667,93.99193637640529,-75.18725737682959,20.303285155565938
quarter_circle_workspace,2056,0.318,54.0,-0.13308428977099354,-0.06273259578876672,-0.1330843533967681,-0.06273266102538609,95.04872298385139,-75.07199965534367,19.95260978742294
quarter_circle_workspace,2057,0.318,55.0,-0.13760269324036736,-0.05950964991610064,-0.13760276046629505,-0.059509720379570086,96.10785848938839,-74.94830327533371,19.580607868066433
quarter_circle_workspace,2058,0.318,56.0,-0.14217665669630253,-0.05636605192749672,-0.14217671646801366,-0.05636611759439049,97.18247278454744,-74.78651761888865,19.10061482698413
quarter_circle_workspace,2059,0.318,57.0,-0.1468047868652214,-0.053302759393355215,-0.146804845653022,-0.05330282610128799,98.25518957938391,-74.62232582543251,18.62069428460927
quarter_circle_workspace,2060,0.318,58.00000000000001,-0.15148567397384086,-0.05032070542225653,-0.15148573487521888,-0.050320776257261945,99.32876662884098,-74.44911317423866,18.121913355955034
quarter_circle_workspace,2061,0.318,58.99999999999999,-0.15621789217860274,-0.0474207983767283,-0.15621794548276652,-0.0474208635492742,100.41476669569232,-74.23679246631605,17.520535134307835
quarter_circle_workspace,2062,0.318,59.99999999999999,-0.16099999999999998,-0.044603921596548524,-0.16100006294985547,-0.044603998981674026,101.48729967932091,-74.04873928242088,16.996575272152715
quarter_circle_workspace,2063,0.318,61.0,-0.1658305407616648,-0.04187093312967216,-0.1658305991433841,-0.04187100794780599,102.57478669083645,-73.80970735422441,16.341801314626956
quarter_circle_workspace,2064,0.318,62.0,-0.1707080430340867,-0.03922266547086123,-0.17070810133649522,-0.039222742538275304,103.6596106556032,-73.56378747229294,15.68049421947294
quarter_circle_workspace,2065,0.318,63.0,-0.1756310210828241,-0.03665992530809903,-0.17563107098698078,-0.036659995001061416,104.75217247261631,-73.27729664094197,14.924946662143805
quarter_circle_workspace,2066,0.318,64.0,-0.18059797532107338,-0.03418349327686493,-0.1805980331963892,-0.034183574825297075,105.83075092766454,-73.01714156554891,14.251830540626704
quarter_circle_workspace,2067,0.318,65.0,-0.18560739276645757,-0.0317941237223453,-0.18560744551017538,-0.031794201572173,106.91935922343845,-72.70193863355675,13.45189831765678
quarter_circle_workspace,2068,0.318,66.0,-0.19065774750189554,-0.029492544469652937,-0.1906577995275754,-0.02949262399010609,108.00291315218011,-72.37979550591643,12.650899741305436
quarter_circle_workspace,2069,0.318,66.99999999999999,-0.1957475011404109,-0.027279456602123997,-0.1957475541282409,-0.02727954010804208,109.08305725077756,-72.04344385586,11.83129999127971
quarter_circle_workspace,2070,0.318,68.0,-0.20087510329374,-0.025155534247761624,-0.20087514889808472,-0.025155610428027414,110.16612848326297,-71.65997988780694,10.91643059318056
